label,Hf,Th,U,Y,Ti,Nb,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,T (¡æ),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,¡÷FMQ,(EuN/EuN*)/Y
¢ó,10764,137,272,487,3.8,4.1,1.5,,17.5,0.03,0.45,1,0.5,6,2.5,33,14,80,21,246,52,475,692,0.51,22,7.4,0.63,39,206,6.11,0.001301
¢ó,11442,187,373,821,,8.7,2.8,0.03,20.7,0.02,0.49,1.4,0.7,10.4,4,57,25,137,35,386,85,763,,0.5,14,6.7,0.57,42,285,,0.000692
¢ó,10375,141,285,815,4.2,7.8,2.5,,20.4,0.02,0.49,1.4,0.7,10,4,55,24,132,34,375,80,738,700,0.5,13,6.8,0.56,42,288,7.6,0.00069
¢ó,10769,336,517,800,3.3,8.3,2.8,,23.8,0.03,0.63,1.6,0.8,10.7,4.1,57,24,130,32,345,72,701,680,0.65,13,6.1,0.58,38,223,6.04,0.000726
¢ó,11896,153,418,475,2.6,5.2,2,,14,,0.39,0.9,0.4,5.6,2.1,30,13,77,20,237,54,457,661,0.37,25,7.8,0.51,36,187,4.78,0.001067
¢ó,10214,221,348,593,3.4,5,1.8,,22.9,0.04,0.63,1.3,0.6,7.9,3,42,18,95,24,260,57,531,683,0.64,17,6.2,0.56,36,180,5.34,0.000949
¢ó,11318,110,237,653,3.7,6.2,2.2,,17.1,0.04,0.42,1.2,0.6,8.3,3.4,45,20,108,28,301,67,599,690,0.46,17,6.7,0.57,40,258,6.92,0.000877
¢ó,11214,164,300,621,,5.6,2.1,,19,0.02,0.46,1.3,0.6,8.2,3.3,46,19,101,25,274,58,557,,0.55,18,6,0.56,41,274,,0.000897
¢ó,10420,190,312,651,3.8,6,2.1,,22.2,0.03,0.45,1.4,0.7,9,3.4,46,19,105,26,284,60,578,691,0.61,16,6.1,0.57,49,352,8.1,0.00088
¢ó,10175,147,343,1182,4.1,11.1,3.2,0.09,23.6,0.04,0.79,2,1,13.2,5.6,80,35,195,49,538,115,1057,698,0.43,9,6.8,0.57,30,174,5.67,0.000485
¢ó,11101,142,313,910,,8.9,3,,20.9,,0.49,1.5,0.7,10.6,4.5,62,28,154,39,435,97,853,,0.45,12,7.1,0.57,42,300,,0.000629
¢ó,10911,269,403,868,,8.5,2.9,,27.5,0.07,0.87,2.1,0.8,11.9,4.8,63,27,141,34,364,77,754,,0.67,13,5.7,0.51,32,179,,0.000589
¢ó,10799,156,259,627,4.7,5.7,2,,21.9,0.03,0.57,1.4,0.6,8.9,3.5,46,20,103,25,278,60,568,709,0.6,17,6.1,0.55,38,218,6.84,0.000873
