label,Hf ,Th ,U ,Y ,Ti ,Nb,Ta,La,Ce ,Pr,Nd ,Sm ,Eu ,Gd ,Tb ,Dy ,Ho ,Er ,Tm ,Yb ,Lu ,REE,T (?),Th/U,Hf/Y,Yb/Dy,EuN/EuN*,Ce/Nd,CeN/CeN*,?FMQ,(EuN/EuN*)/Y
barren,9368,1887,2481,1814,12.4,8.02,36.49,0.39,32.7,0.34,4.31,6.8,0.5,33.8,11,137,49,243,49,577,96,1242,802,0.76,5,4.2,0.1,8,28,1.52,0.000055
barren,10188,750,1327,1676,7.7,3.9,28.42,0.3,19.9,0.27,3.21,5.2,0.5,27,9.2,118,45,238,53,649,116,1284,755,0.57,6,5.5,0.12,6,23,-0.34,0.000072
barren,9941,1689,2080,1754,8.1,4.46,7.01,0.02,28.2,0.18,3.12,5.6,0.5,29.6,9.8,126,49,242,53,638,112,1297,759,0.81,6,5.1,0.12,9,38,1.6,0.000068
barren,9657,627,1049,1150,8,2.58,19.84,0.02,14.4,0.08,1.6,3.5,0.4,17.5,6,79,31,163,37,461,85,901,758,0.6,8,5.8,0.16,9,46,2.3,0.000139
barren,9252,1007,1242,2364,8.3,2,5.3,0.05,16.3,0.39,5.78,9.3,1.1,46.2,14.7,182,67,326,69,807,141,1685,762,0.81,4,4.4,0.17,3,11,-3.12,0.000072
barren,12580,1327,2284,1665,7.2,8.51,6.69,0.04,33.4,0.12,2.13,4.7,0.3,24.7,8.8,117,45,237,53,660,121,1308,749,0.58,8,5.6,0.08,16,80,4.16,0.000048
barren,9385,1400,2268,2673,8.8,7.91,11.14,0.02,34.3,0.2,3.35,6.8,0.7,36.5,13,178,72,381,84,1021,186,2017,768,0.62,4,5.7,0.14,10,48,2.74,0.000052
barren,9688,1494,1508,1520,9.7,2.33,20.2,0.02,22,0.19,2.72,5.2,0.6,25.7,8.5,111,42,212,46,555,99,1128,777,0.99,6,5,0.15,8,36,1.86,0.000099
barren,10421,980,1826,2020,8.6,6.54,1.41,0.01,28,0.15,2.63,5.5,0.5,28.9,10,136,54,292,66,814,149,1587,765,0.54,5,6,0.11,11,52,2.94,0.000054
barren,9884,602,985,1563,8.1,1.98,1.79,0.04,14,0.2,3.12,5.7,0.6,27.9,9,113,43,219,48,584,106,1173,759,0.61,6,5.2,0.15,4,19,-0.97,0.000096
barren,12884,1285,2738,2073,8.8,14.23,0.94,0.15,42.8,0.22,2.71,5.7,0.4,29.1,10.5,141,56,302,70,866,159,1685,768,0.47,6,6.1,0.09,16,77,4.51,0.000043
barren,9778,956,1156,1302,8.2,2.04,0.67,0.02,18.4,0.13,2.05,3.9,0.5,21.1,7,91,35,177,39,470,84,950,761,0.83,8,5.1,0.17,9,40,1.87,0.000131
barren,9779,937,1531,1745,6.8,4.2,0.61,0.02,20.7,0.14,2.71,5.4,0.5,27.2,9.2,120,47,251,56,683,127,1350,743,0.61,6,5.7,0.13,8,36,0.94,0.000074
barren,10280,945,1542,1641,11.5,5.6,0.63,0.02,26.1,0.15,2.25,4.8,0.5,25.3,8.6,113,45,234,52,638,115,1264,795,0.61,6,5.6,0.14,12,57,4.07,0.000085
barren,8894,773,1119,1653,10.6,2.38,0.93,0.03,15,0.22,3.28,5.6,0.7,27.9,9.2,117,45,236,51,626,115,1252,786,0.69,5,5.4,0.17,5,18,-0.46,0.000103
barren,9999,652,1081,1632,6.3,2.53,0.48,0.02,15.7,0.19,3.1,5.5,0.6,27.8,9.3,118,44,228,50,604,110,1217,736,0.6,6,5.1,0.14,5,21,-1.26,0.000086
